Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
238	Bionicle Gold	B9752F	Pearl	6	3	75	6	2002	2002
239	Bionicle Silver	A59287	Pearl	6	3	105	9	2002	2002
84	Copper	AC6D52	Pearl	11	23	1050	55	2004	2008
81	Flat Dark Gold	AD7118	Pearl	50	47	895	149	2002	2006
95	Flat Silver	8D949C	Pearl	778	2566	2739	1027	2008	2022
244	Pearl Black	282725	Pearl	4	8	312	4	2003	2006
77	Pearl Dark Gray	666660	Pearl	711	1096	2752	785	2000	2022
115	Pearl Gold	E79E1D	Pearl	1039	2226	2727	1152	2004	2022
61	Pearl Light Gold	E7AE5A	Pearl	13	7	446	59	2000	2005
66	Pearl Light Gray	ACB7C0	Pearl	500	765	1658	629	1993	2011
78	Pearl Sand Blue	868FAA	Pearl	45	25	370	48	2002	2009
243	Pearl Sand Purple	B5A1BA	Pearl			4			
119	Pearl Very Light Gray	D4D2CD	Pearl	21	16	543	41	2002	2004
83	Pearl White	FFFFFF	Pearl	3	5	474	14	2003	2006
249	Reddish Copper	D06926	Pearl	21	20	31	22	2017	2020
235	Reddish Gold	E7891B	Pearl	28	28	76	27	2003	2005
229	Satin Trans-Black	939484	Satin	4	9	49	4	2020	2021
233	Satin Trans-Bright Green	7fe15b	Satin	5	4	38	5	2021	2022
228	Satin Trans-Clear	FFFFFF	Satin	11	34	148	12	2020	2022
232	Satin Trans-Dark Blue	1552e2	Satin	9	7	56	10	2021	2022
224	Satin Trans-Dark Pink	CE1d9b	Satin	8	19	54	9	2020	2022
223	Satin Trans-Light Blue	68BCC5	Satin	31	56	110	34	2020	2022
230	Satin Trans-Purple	8320B7	Satin	2	6	50	3	2020	2022
250	Metallic Copper	C58259	Metallic	5	13	17	5	2007	2012
65	Metallic Gold	B8860B	Metallic	104	282	1404	185	1997	2022
70	Metallic Green	bdb573	Metallic	31	9	379	37	2001	2003
67	Metallic Silver	C0C0C0	Metallic	196	681	2380	257	1957	2022
46	Glow In Dark Opaque	d4d5c9	Milky	55	88	603	108	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	16	22	343	20	2005	2011
159	Glow In Dark White	d9d9d9	Milky	74	76	896	93	2012	2022
60	Milky White	d4d3dd	Milky	26	144	563	59	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	17	31	161	21	1999	2022
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	39	137	16	1999	2022
162	Glitter Trans-Light Blue	68BCC5	Glitter	17	27	125	22	2015	2022
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	115	1	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	71	1	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	10	49	141	14	2000	2022
116	Speckle Black-Copper	5F4E47	Speckle	5	3	152	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	187	7	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	260	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	221	7	2006	2006
142	Mx Aqua Green	27867E	Modulex			21	10		
128	Mx Black	000000	Modulex			156	223		
132	Mx Brown	907450	Modulex			32	26		
133	Mx Buff	DEC69C	Modulex			36	28		
126	Mx Charcoal Gray	595D60	Modulex			14	10		
149	Mx Clear	FFFFFF	Modulex			52	36		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
210	Mx Foil Dark Gray	595D60	Modulex			2	1		
212	Mx Foil Dark Green	006400	Modulex			3			
215	Mx Foil Light Blue	68AECE	Modulex			3	1		
211	Mx Foil Light Gray	9C9C9C	Modulex			2			
213	Mx Foil Light Green	7DB538	Modulex			2	1		
219	Mx Foil Orange	F7AD63	Modulex			2	1		
217	Mx Foil Red	8B0000	Modulex			2	1		
216	Mx Foil Violet	4B0082	Modulex			3			
218	Mx Foil Yellow	FED557	Modulex			2			
139	Mx Lemon	BDC618	Modulex			12	24		
124	Mx Light Bluish Gray	AfB5C7	Modulex			18	4		
125	Mx Light Gray	9C9C9C	Modulex			55	57		
136	Mx Light Orange	F7AD63	Modulex			13	8		
137	Mx Light Yellow	FFE371	Modulex			15	15		
144	Mx Medium Blue	61AFFF	Modulex			16	10		
138	Mx Ochre Yellow	FED557	Modulex			18	17		
140	Mx Olive Green	7C9051	Modulex			22	19		
135	Mx Orange	F47B30	Modulex			17	26		
145	Mx Pastel Blue	68AECE	Modulex			22	23		
141	Mx Pastel Green	7DB538	Modulex			26	31		
148	Mx Pink	F785B1	Modulex			13	20		
130	Mx Pink Red	F45C40	Modulex			13	7		
129	Mx Red	B52C20	Modulex			23	31		
146	Mx Teal Blue	467083	Modulex			17	11		
134	Mx Terracotta	5C5030	Modulex			26	33		
143	Mx Tile Blue	0057A6	Modulex			42	106		
131	Mx Tile Brown	330000	Modulex			115			
127	Mx Tile Gray	6B5A5A	Modulex			45	1		
147	Mx Violet	BD7D85	Modulex			19	9		
123	Mx White	FFFFFF	Modulex			422	489		
