Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
179	Racers / Power Racers	8382-1	Hot Buster	2003	30	23.8 x 14.2 x 5.8
179	Racers / Power Racers	8383-1	Nitro Terminator	2003	26	23.8 x 14.2 x 5.8
179	Racers / Power Racers	8384-1	Jungle Crasher	2003	27.2	23.8 x 14.2 x 5.8
179	Racers / Power Racers	8385-1	Exo Stealth	2003	33	23.8 x 14.2 x 5.8
171	Creator / Basic Set / Traffic	4407-1	Transportation	2004	99.5	28.8 x 28.8 x 9.6
516	4 Juniors / Town / Police	4666-1	Speedy Police Car	2004	1	? x ? x ?
516	4 Juniors / Town / Construction	4667-1	Loadin' Digger	2004	7	19 x 19 x 5.8
516	4 Juniors / Town / Construction	4668-1	Outrigger Construction Crane	2004	10	28.7 x 28.7 x 5.9
516	4 Juniors / Town / Police	4669-1	Turbo-charged Police Boat	2004	14	33.5 x 23.8 x 7
976	LEGO Brand / LEGOLAND Parks / Holiday & Event / Christmas	LLCA02-1	Christmas Tree (LEGOLAND California)	2003	?	12 x 18 x 2
976	LEGO Brand / LEGOLAND Parks	LLCA03-1	Pelican Sculpture (LEGOLAND California)	2000	7.08	19 x 19 x 2
179	Racers / Drome Racers	4297-1	Lightning Streak	2002	2	7 x 7.5 x 4.2
171	Creator / Basic Set	4410-1	Build and Create	2004	90	? x ? x ?
388	Building Set with People / Airport	253-2	Helicopter and Pilot	1975	6.6	15 x 10 x 5
273	BIONICLE / Titans	8623-1	Krekka	2004	135	23.7 x 28.5 x 6
273	BIONICLE / Titans	8622-1	Nidhiki	2004	92	23.7 x 28.5 x 6
273	BIONICLE / Titans	8621-1	Turaga Dume & Nivawk	2004	131	23.7 x 28.5 x 7
273	BIONICLE / Vahki	8619-1	Vahki Keerakh	2004	31	10.4 x 9 x 18.7
273	BIONICLE / Vahki	8618-1	Vahki Rorzakh	2004	31	10.4 x 9 x 18.7
273	BIONICLE / Vahki	8617-1	Vahki Zadakh	2004	31	10.4 x 9 x 18.7
273	BIONICLE / Vahki	8616-1	Vahki Vorzakh	2004	31	10.4 x 9 x 18.7
273	BIONICLE / Vahki	8615-1	Vahki Bordakh	2004	31	10.4 x 18.7 x 9
273	BIONICLE / Vahki	8614-1	Vahki Nuurakh	2004	31	10.4 x 9 x 18.7
273	BIONICLE / Toa Metru	8606-1	Toa Nuju	2004	28	9.5 x 9.5 x 18.9
273	BIONICLE / Toa Metru	8605-1	Toa Matau	2004	35	9.5 x 9.5 x 18.9
273	BIONICLE / Toa Metru	8604-1	Toa Onewa	2004	29	9.5 x 9.5 x 18.9
273	BIONICLE / Toa Metru	8603-1	Toa Whenua	2004	25	9.5 x 9.5 x 18.9
273	BIONICLE / Toa Metru	8602-1	Toa Nokama	2004	26	9.5 x 9.5 x 18.9
273	BIONICLE / Toa Metru	8601-1	Toa Vakama	2004	28	9.5 x 9.5 x 18.9
124	Train / 9V / My Own Train	4186868-1	Large Train Engine with Tender Black (Motorizable, sets 4534, 4535)	2002	28.4	28.9 x 28.9 x 4.8
976	LEGO Brand / LEGOLAND Parks	LLCA04-1	Toy Soldier (LEGOLAND California)	2003	?	20 x 7 x 20
976	LEGO Brand / LEGOLAND Parks / Holiday & Event / Christmas	LLCA07-1	Holiday Gift Box (Red Box, Yellow Trim with Removable Top) (LEGOLAND California)	2001	?	? x ? x ?
179	Racers / Ferrari	8389-1	M. Schumacher & R. Barrichello	2004	4.56	14.5 x 14.3 x 3.5
