Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
113	Trans-Aqua	B7C8BF	Transparent	39	36	534	57	2003	2006
251	Trans-Black	777777	Transparent	71	91	572	95	2023	2025
108	Trans-Bright Green	10Cb31	Transparent	201	678	750	247	2006	2025
13	Trans-Brown	939484	Transparent	492	1858	1250	558	1999	2025
12	Trans-Clear	EEEEEE	Transparent	1195	5969	3287	1450	1950	2025
14	Trans-Dark Blue	00296B	Transparent	279	1883	1170	343	1978	2025
50	Trans-Dark Pink	CE1d9b	Transparent	273	921	646	300	1999	2025
20	Trans-Green	217625	Transparent	148	1634	694	188	1969	2025
15	Trans-Light Blue	68BCC5	Transparent	932	3525	2045	1078	1985	2025
226	Trans-Light Bright Green	71EB54	Transparent	26	17	227	57	2003	2006
221	Trans-Light Green	94E5AB	Transparent	10	5	205	29	2005	2006
164	Trans-Light Orange	E99A3A	Transparent	39	22	386	89	2003	2006
114	Trans-Light Purple	B97AB1	Transparent	20	20	249	35	2005	2006
74	Trans-Medium Blue	76A3C8	Transparent	98	203	1000	169	2001	2018
234	Trans-Medium Purple	9C41B6	Transparent	37	36	181	45	2003	2006
16	Trans-Neon Green	C0F500	Transparent	229	1144	992	295	1990	2024
18	Trans-Neon Orange	FF4231	Transparent	247	1039	1008	318	1993	2023
121	Trans-Neon Yellow	FFD700	Transparent	28	36	434	79	2001	2006
98	Trans-Orange	E96F01	Transparent	256	2570	842	336	2003	2025
107	Trans-Pink	FF8298	Transparent	68	45	288	92	2003	2006
51	Trans-Purple	5525B7	Transparent	163	481	587	189	2000	2025
17	Trans-Red	9C0010	Transparent	262	4203	1232	331	1969	2025
19	Trans-Yellow	EBF72D	Transparent	250	2887	993	309	1969	2025
57	Chrome Antique Brass	645a4c	Chrome	3	17	491	3	2001	2005
122	Chrome Black	544E4F	Chrome	11	1	978	10	2009	2009
52	Chrome Blue	5C66A4	Chrome	5	14	301	10	1998	2006
21	Chrome Gold	f1f2e1	Chrome	51	298	1476	60	1989	2025
64	Chrome Green	3CB371	Chrome	1	2	207	4	1999	1999
82	Chrome Pink	aa4d8e	Chrome	1	10	199	6	2001	2007
22	Chrome Silver	DCDCDC	Chrome	104	528	1971	195	1966	2025
237	Bionicle Copper	985750	Pearl	2	1	140	6	2001	2001
238	Bionicle Gold	B9752F	Pearl	6	2	344	9	2002	2002
239	Bionicle Silver	A59287	Pearl	6	2	539	6	2002	2002
84	Copper	AC6D52	Pearl	11	23	683	43	2004	2008
81	Flat Dark Gold	AD7118	Pearl	50	48	776	165	2002	2006
95	Flat Silver	8D949C	Pearl	908	3372	3170	1215	2008	2025
244	Pearl Black	282725	Pearl	6	9	999	13	2003	2006
254	Pearl Blue	3977C7	Pearl	4	9	147	7	2003	2009
255	Pearl Brown	815542	Pearl	3	7	127	4	2003	2006
77	Pearl Dark Gray	666660	Pearl	883	1472	2826	950	2000	2025
115	Pearl Gold	E79E1D	Pearl	1323	3062	2928	1463	2004	2025
253	Pearl Green	13A452	Pearl	3	7	129	5	2003	2006
